id,territorial,fecha_acc,dia_semana_acc,condic_meteor,estado_super,terreno,geometria_acc,tipo_cierre,n_heridos,n_muertos,clase_accidente,hora_acc
2912,Cundinamarca,2018-01-01,lunes,Lluvia,Humeda,Ondulado,Recta,Transito normal con precaución,0,0,Choque,100.0
2913,Cundinamarca,2018-01-03,miercoles,Seca,Seca y limpia,Ondulado,Curva Izquierda,Transito normal con precaución,0,0,Choque,100.0
2914,Cundinamarca,2018-01-06,sabado,Seca,Seca y limpia,Ondulado,Recta,Transito normal con precaución,0,0,Choque,100.0
2915,Cundinamarca,2018-01-06,sabado,Lluvia,Humeda,Ondulado,Recta,Transito normal con precaución,0,0,Choque,100.0
2916,Cundinamarca,2018-01-09,martes,Lluvia,Humeda,Ondulado,Recta,Transito normal con precaución,0,0,Choque,100.0
2917,Cundinamarca,2018-01-09,martes,Seca,Seca y limpia,Ondulado,Recta,Transito normal con precaución,0,0,Choque,100.0
2918,Cundinamarca,2018-01-09,martes,Normal,Seca y limpia,Ondulado,Curva Derecha,Transito normal con precaución,0,0,Choque,100.0
2919,Cundinamarca,2018-01-09,martes,Lluvia,Humeda,Ondulado,Recta,Transito normal con precaución,0,0,Choque,100.0
2920,Cundinamarca,2018-01-11,jueves,Normal,Seca y limpia,Ondulado,Curva Derecha,Transito normal con precaución,0,0,Choque,100.0
2921,Cundinamarca,2018-01-12,viernes,Normal,Seca y limpia,Ondulado,Recta,Transito normal con precaución,0,0,Choque,100.0
2922,Cundinamarca,2018-01-12,viernes,Normal,Seca y limpia,Ondulado,Curva Derecha,Parcial con reducción de carriles,0,1,Atropello,100.0
2923,Cundinamarca,2018-01-14,domingo,Normal,Seca y limpia,Ondulado,Recta,Transito normal con precaución,0,0,Choque,100.0
